FILE	ID	TWAS.Z	TWAS.P	COND.BETA	COND.BETA.SE	COND.Z	COND.P
/data/songy4/tes/output/weights_case//ENST00000651460.1.wgt.RDat	ENST00000651460.1	 5.7	1.4e-08	-0.5498	0.0139	 -39.60	0.0e+00
/data/songy4/tes/output/weights_case//ENST00000651380.1.wgt.RDat	ENST00000651380.1	 5.7	1.1e-08	-0.4984	0.0326	 -15.30	7.9e-53
/data/songy4/tes/output/weights_case//ENST00000651430.1.wgt.RDat	ENST00000651430.1	 6.0	1.7e-09	-0.1003	0.1750	  -0.57	5.7e-01
/data/songy4/tes/output/weights_case//ENST00000652134.1.wgt.RDat	ENST00000652134.1	 6.2	4.9e-10	 0.0447	0.1196	   0.37	7.1e-01
/data/songy4/tes/output/weights_case//ENST00000652111.1.wgt.RDat	ENST00000652111.1	 6.2	4.9e-10	 0.0554	0.1332	   0.42	6.8e-01
/data/songy4/tes/output/weights_case//ENST00000652059.1.wgt.RDat	ENST00000652059.1	 5.9	3.8e-09	-0.2962	0.1054	  -2.81	5.0e-03
/data/songy4/tes/output/weights_case//ENST00000652143.1.wgt.RDat	ENST00000652143.1	 6.2	4.9e-10	 0.0799	0.1597	   0.50	6.2e-01
/data/songy4/tes/output/weights_case//ENST00000651916.1.wgt.RDat	ENST00000651916.1	 5.8	7.1e-09	-0.4222	0.0602	  -7.02	2.2e-12
/data/songy4/tes/output/weights_case//ENST00000651953.1.wgt.RDat	ENST00000651953.1	 6.0	1.7e-09	-0.0988	0.1755	  -0.56	5.7e-01
/data/songy4/tes/output/weights_case//ENST00000651972.1.wgt.RDat	ENST00000651972.1	 6.2	4.9e-10	 0.0540	0.1315	   0.41	6.8e-01
/data/songy4/tes/output/weights_case//ENST00000652032.1.wgt.RDat	ENST00000652032.1	 6.2	4.9e-10	 0.2294	0.2690	   0.85	3.9e-01
/data/songy4/tes/output/weights_case//ENST00000651282.1.wgt.RDat	ENST00000651282.1	 5.8	8.6e-09	-0.4591	0.0468	  -9.81	1.1e-22
/data/songy4/tes/output/weights_case//ENST00000651254.1.wgt.RDat	ENST00000651254.1	 5.7	9.8e-09	-0.4836	0.0380	 -12.74	3.4e-37
/data/songy4/tes/output/weights_case//ENST00000651292.1.wgt.RDat	ENST00000651292.1	 5.6	2.2e-08	-0.6238	0.0132	 -47.34	0.0e+00
/data/songy4/tes/output/weights_case//ENST00000651379.1.wgt.RDat	ENST00000651379.1	 5.9	3.4e-09	-0.2726	0.1139	  -2.39	1.7e-02
/data/songy4/tes/output/weights_case//ENST00000651305.1.wgt.RDat	ENST00000651305.1	 5.6	1.9e-08	-0.6032	0.0057	-106.70	0.0e+00
/data/songy4/tes/output/weights_case//ENST00000651117.1.wgt.RDat	ENST00000651117.1	 5.8	5.3e-09	-0.3649	0.0808	  -4.51	6.3e-06
/data/songy4/tes/output/weights_case//ENST00000651147.1.wgt.RDat	ENST00000651147.1	 6.2	4.9e-10	 0.0077	0.0496	   0.15	8.8e-01
/data/songy4/tes/output/weights_case//ENST00000651178.1.wgt.RDat	ENST00000651178.1	 5.7	1.5e-08	-0.5600	0.0102	 -55.08	0.0e+00
/data/songy4/tes/output/weights_case//ENST00000650733.1.wgt.RDat	ENST00000650733.1	 5.8	4.9e-09	-0.3491	0.0865	  -4.04	5.5e-05
/data/songy4/tes/output/weights_case//ENST00000650695.1.wgt.RDat	ENST00000650695.1	 5.9	4.3e-09	-0.3204	0.0968	  -3.31	9.3e-04
/data/songy4/tes/output/weights_case//ENST00000392781.7.wgt.RDat	ENST00000392781.7	 5.9	2.7e-09	-0.2205	0.1324	  -1.66	9.6e-02
/data/songy4/tes/output/weights_case//ENST00000392779.6.wgt.RDat	ENST00000392779.6	 5.8	6.5e-09	-0.4040	0.0668	  -6.05	1.4e-09
/data/songy4/tes/output/weights_case//ENST00000422318.7.wgt.RDat	ENST00000422318.7	 4.8	1.5e-06	 0.0226	0.0968	   0.23	8.2e-01
/data/songy4/tes/output/weights_case//ENST00000418109.5.wgt.RDat	ENST00000418109.5	-6.4	1.3e-10	-0.0628	0.1394	  -0.45	6.5e-01
/data/songy4/tes/output/weights_case//ENST00000417187.2.wgt.RDat	ENST00000417187.2	 6.2	4.9e-10	 0.2008	0.2520	   0.80	4.3e-01
/data/songy4/tes/output/weights_case//ENST00000416872.6.wgt.RDat	ENST00000416872.6	-4.8	1.5e-06	-0.7302	0.5293	  -1.38	1.7e-01
